code,name,lat,lon,radius_m
90001,90001,33.974026,-118.24951,1699
90002,90002,33.949099,-118.246737,1588
90003,90003,33.964131,-118.272783,1710
90004,90004,34.076198,-118.310722,1585
90005,90005,34.059163,-118.306892,945
90006,90006,34.048041,-118.294177,1258
90007,90007,34.028127,-118.28483,1426
90008,90008,34.009552,-118.346724,1740
90010,90010,34.062148,-118.315889,613
90011,90011,34.00709,-118.258681,1879
90012,90012,34.065975,-118.238642,1632
90013,90013,34.045405,-118.240454,743
90014,90014,34.043146,-118.251746,483
90015,90015,34.039378,-118.2663,1187
90016,90016,34.028331,-118.354338,1729
90017,90017,34.052913,-118.26434,773
90018,90018,34.028887,-118.317183,1545
90019,90019,34.049841,-118.33846,1790
90020,90020,34.066379,-118.30987,965
90021,90021,34.029036,-118.23787,1306
90022,90022,34.023728,-118.156275,1900
90023,90023,34.022502,-118.199613,1866
90024,90024,34.065739,-118.435026,1556
90025,90025,34.045421,-118.445873,1455
90026,Silver Lake,34.080017,-118.262643,1866
90027,90027,34.127603,-118.296381,2589
90028,90028,34.099912,-118.326912,1120
90029,90029,34.089848,-118.29466,1059
90031,90031,34.084197,-118.208567,1687
90032,90032,34.078294,-118.185785,1982
90033,90033,34.05038,-118.211991,1641
90034,90034,34.030578,-118.399613,1601
90035,90035,34.051819,-118.383582,1299
90036,90036,34.07041,-118.350411,1426
90037,90037,34.002717,-118.287486,1529
90038,90038,34.088475,-118.325527,1136
90039,Atwater Village,34.111885,-118.261033,1762
90040,90040,33.994523,-118.149952,2145
90041,Eagle Rock,34.137412,-118.207607,1724
90042,Highland Park,34.114708,-118.192098,1958
90043,90043,33.988505,-118.336358,1845
90044,90044,33.952725,-118.291904,2057
90045,Westchester,33.942387,-118.416062,2974
90046,90046,34.10781,-118.362247,2183
90047,90047,33.953617,-118.308428,1974
90048,90048,34.072925,-118.372711,1246
90049,90049,34.09254,-118.491064,3518
90056,90056,33.988047,-118.370361,1141
90057,90057,34.061735,-118.276757,854
90058,90058,34.002844,-118.2164,2188
90059,90059,33.926262,-118.249883,1652
90061,90061,33.92128,-118.274186,1481
90062,90062,34.003629,-118.308818,1263
90063,90063,34.045105,-118.185914,1642
90064,90064,34.037251,-118.423573,1818
